page,posts,Page Name,inter,interParPost,postsParJour
La Gazette de la Mauricie,758,La Gazette de la Mauricie,8457,"11,1569920844327","0,860385925085131"
Journal Ski-se-Dit,750,Journal Ski-se-Dit,5321,"7,09466666666667","0,851305334846765"
Métro - Outremont,745,Métro - Outremont,224,"0,300671140939597","0,845629965947787"
Le Bureau d'enquête,730,Le Bureau d'enquête,21595,"29,5821917808219","0,828603859250851"
Journal communautaire Le Cantonnier,729,Journal communautaire Le Cantonnier,3479,"4,77229080932785","0,827468785471056"
"CKRL 89,1",721,"CKRL 89,1",10520,"14,5908460471567","0,81838819523269"
JournalLeGuide.com,692,JournalLeGuide.com,3786,"5,47109826589595","0,785471055618615"
La semaine verte,679,La semaine verte,186636,"274,868924889543","0,770715096481271"
L'Indice bohémien,667,L'Indice bohémien,6006,"9,00449775112444","0,757094211123723"
Le Charlevoisien,655,Le Charlevoisien,36140,"55,175572519084","0,743473325766175"
SorelTracy Magazine,643,SorelTracy Magazine,17764,"27,6267496111975","0,729852440408627"
Les as de l'info,642,Les as de l'info,6524,"10,1619937694704","0,728717366628831"
"CIBL 101,5",630,"CIBL 101,5",6024,"9,56190476190476","0,715096481271283"
MAtv Sherbrooke,590,MAtv Sherbrooke,3019,"5,11694915254237","0,669693530079455"
"CFLX 95,5 FM",586,"CFLX 95,5 FM",3011,"5,1382252559727","0,665153234960273"
MAtv Saguenay Lac-Saint-Jean,577,MAtv Saguenay Lac-Saint-Jean,4605,"7,98093587521664","0,654937570942111"
Bulletin d'Aylmer,570,Bulletin d'Aylmer,41361,"72,5631578947369","0,646992054483542"
L'écho de Compton,562,L'écho de Compton,7067,"12,5747330960854","0,637911464245176"
Journal Le Lavalois,548,Journal Le Lavalois,1441,"2,62956204379562","0,622020431328036"
Journal Outremont,538,Journal Outremont,3887,"7,22490706319703","0,61066969353008"
Gaspésie Nouvelles,532,Gaspésie Nouvelles,11343,"21,3214285714286","0,603859250851305"
MAtv CapdelaMadeleine,529,MAtv CapdelaMadeleine,3995,"7,55198487712665","0,600454029511918"
"Radio Communautaire CJTB 93,1",521,"Radio Communautaire CJTB 93,1",6658,"12,7792706333973","0,591373439273553"
CKIA FM,498,CKIA FM,5083,"10,2068273092369","0,565266742338252"
Le Nord Info,482,Le Nord Info,7130,"14,792531120332","0,547105561861521"
MAtv Bas-Saint-Laurent,458,MAtv Bas-Saint-Laurent,1587,"3,46506550218341","0,519863791146425"
MAtv Granby,447,MAtv Granby,2211,"4,94630872483222","0,507377979568672"
Plume libre Montcalm,445,Plume libre Montcalm,13419,"30,1550561797753","0,505107832009081"
Le réseau IPIX TV,444,Le réseau IPIX TV,1364,"3,07207207207207","0,503972758229285"
Le p'tit journal de Woburn,401,Le p'tit journal de Woburn,3696,"9,21695760598504","0,45516458569807"
MAtv Sorel-Tracy,401,MAtv Sorel-Tracy,3294,"8,214463840399","0,45516458569807"
Actualités - L'Étincelle du Val SF,370,Actualités - L'Étincelle du Val SF,2377,"6,42432432432432","0,419977298524404"
Le Montarvillois,365,Le Montarvillois,1848,"5,06301369863014","0,414301929625426"
"CIAU FM 103,1",363,"CIAU FM 103,1",3148,"8,67217630853994","0,412031782065834"
Chaleurs Nouvelles,361,Chaleurs Nouvelles,2312,"6,40443213296399","0,409761634506243"
Journal Infos Laurentides,356,Journal Infos Laurentides,4313,"12,1151685393258","0,404086265607264"
"Radio Anticosti 90,5",333,"Radio Anticosti 90,5",1625,"4,87987987987988","0,377979568671964"
Télévision du Sud Ouest   TVSO / MAtv-9,327,Télévision du Sud Ouest   TVSO / MAtv-9,5643,"17,256880733945","0,37116912599319"
Reflet de Société,326,Reflet de Société,643,"1,97239263803681","0,370034052213394"
Journal le Phare,316,Journal le Phare,242,"0,765822784810127","0,358683314415437"
Journal Le Sentier,313,Journal Le Sentier,1009,"3,22364217252396","0,35527809307605"
Journal Autour de l'Île,306,Journal Autour de l'Île,2465,"8,05555555555556","0,34733257661748"
Dehors par URBANIA,300,Dehors par URBANIA,17726,"59,0866666666667","0,340522133938706"
MAtv Québec,300,MAtv Québec,2069,"6,89666666666667","0,340522133938706"
Journal Le Pont de Palmarolle,298,Journal Le Pont de Palmarolle,10957,"36,7684563758389","0,338251986379115"
Courrier de Portneuf,294,Courrier de Portneuf,5170,"17,5850340136054","0,333711691259932"
CHAI 101.9 FM,284,CHAI 101.9 FM,1079,"3,79929577464789","0,322360953461975"
Le Trait d'Union,270,Le Trait d'Union,3560,"13,1851851851852","0,306469920544835"
JOURNAL GRAFFICI,268,JOURNAL GRAFFICI,2048,"7,64179104477612","0,304199772985244"
CFBS Radio Blanc-Sablon,266,CFBS Radio Blanc-Sablon,3145,"11,8233082706767","0,301929625425653"
Journal communautaire Ici Brompton,257,Journal communautaire Ici Brompton,2757,"10,727626459144","0,291713961407492"
MAJ - L'actualité pour les jeunes,251,MAJ - L'actualité pour les jeunes,12703,"50,6095617529881","0,284903518728717"
Journal L'Argenteuil,232,Journal L'Argenteuil,5371,"23,1508620689655","0,263337116912599"
Journal Le Saint Denisien,227,Journal Le Saint Denisien,640,"2,81938325991189","0,257661748013621"
Le Moniteur Acadien,225,Le Moniteur Acadien,3905,"17,3555555555556","0,25539160045403"
Journal le Haut-Saint-François,222,Journal le Haut-Saint-François,2027,"9,13063063063063","0,251986379114642"
"Journal L'Horizon, presse coopérative des Basques",203,"Journal L'Horizon, presse coopérative des Basques",417,"2,05418719211823","0,230419977298524"
Journal communautaire Ensemble pour bâtir,196,Journal communautaire Ensemble pour bâtir,1556,"7,93877551020408","0,222474460839955"
La Converse,188,La Converse,11422,"60,7553191489362","0,213393870601589"
Journal l'Écho d'en Haut Inc.,143,Journal l'Écho d'en Haut Inc.,1423,"9,95104895104895","0,162315550510783"
Journal l'Alliance de Preissac,125,Journal l'Alliance de Preissac,306,"2,448","0,141884222474461"
Rad,119,Rad,189379,"1591,42016806723","0,135073779795687"
La Sentinelle,117,La Sentinelle,2950,"25,2136752136752","0,132803632236095"
"CHEF 99,9",109,"CHEF 99,9",1610,"14,7706422018349","0,12372304199773"
West Island News,97,West Island News,4456,"45,9381443298969","0,110102156640182"
Bury's Image de Bury,89,Bury's Image de Bury,907,"10,1910112359551","0,101021566401816"
"CHOX-FM 97,5",85,"CHOX-FM 97,5",1201,"14,1294117647059","0,0964812712826334"
Bulletin des Chenaux,75,Bulletin des Chenaux,772,"10,2933333333333","0,0851305334846765"
MTL Blog,74,MTL Blog,17571,"237,445945945946","0,0839954597048808"
Journal La Voie du Secteur des Coteaux,72,Journal La Voie du Secteur des Coteaux,982,"13,6388888888889","0,0817253121452894"
CIQI FM Montmagny,67,CIQI FM Montmagny,2342,"34,955223880597","0,076049943246311"
Journal Le Causeur - Daveluyville et Maddington,65,Journal Le Causeur - Daveluyville et Maddington,138,"2,12307692307692","0,0737797956867196"
Écho de Cantley,64,Écho de Cantley,296,"4,625","0,072644721906924"
Journal La Relève,48,Journal La Relève,316,"6,58333333333333","0,054483541430193"
Journal L'annonceur,27,Journal L'annonceur,1236,"45,7777777777778","0,0306469920544835"
MAtv Outaouais,22,MAtv Outaouais,40,"1,81818181818182","0,0249716231555051"
Montreal Gazette,18,Montreal Gazette,2485,"138,055555555556","0,0204313280363224"
MAtv Montréal MAJ,13,MAtv Montréal MAJ,153,"11,7692307692308","0,0147559591373439"
Journal La Rafale,12,Journal La Rafale,39,"3,25","0,0136208853575482"
Le Saint-Armand,11,Le Saint-Armand,48,"4,36363636363636","0,0124858115777526"
The Record,9,The Record,117,13,"0,0102156640181612"
CFMB 1280AM Radio Montréal,7,CFMB 1280AM Radio Montréal,26,"3,71428571428571","0,00794551645856981"
CBC Montreal,4,CBC Montreal,3386,"846,5","0,00454029511918275"
CityNews Montreal,4,CityNews Montreal,68,17,"0,00454029511918275"
